n,format,exp_bits,sig_bits,exact_sum,deterministic_sum,deterministic_abs_error,deterministic_relative_error,deterministic_reference_digits,stochastic_representative,stochastic_std,stochastic_sample_digits,stochastic_reference_digits,stochastic_abs_error,stochastic_relative_error,stochastic_samples,engine
10000,fp32,8,23,2500500025000000,2500503384621056.0,3359621056.0,1.343579693025598e-06,5.871736568743423,2500503474099541.5,6146722579.870257,5.214173131009483,5.860321134877408,3449099541.5,1.3793639300203566e-06,2500501505572864;2500498552782848;2500510363942912,numba
100000,fp32,8,23,25000500002500000000,2.5000484286138155e+19,15716361846784.0,6.286419009704763e-07,6.201596675253223,2.500043810664979e+19,92227989606239.02,5.037874158622688,5.606287161650721,61895850213376.0,2.4757844925976094e-06,2.5000354543766077e+19;2.5000537062696288e+19;2.5000422713487e+19,numba
1000000,fp32,8,23,250000500000250000000000,2.4998557392890087e+23,1.4926071349146288e+19,5.970416598819347e-05,4.22399536397013,2.5001233732028644e+23,2.572297992728075e+18,4.592429442708358,4.324687487807183,1.1837320036429595e+19,4.734918544730013e-05,2.5000962315091103e+23;2.5001473924008772e+23;2.5001264956986062e+23,numba
10000000,fp32,8,23,2500000500000025000000000000,2.493940178888685e+27,6.06032111133961e+24,0.0024241279597102283,2.6154444592873856,2.508758472998755e+27,3.725104884477285e+22,4.433109628245918,2.4555364936244173,8.757972998730221e+24,0.0035031884988543536,2.5087899554419739e+27;2.5087681144969907e+27;2.5087173490572998e+27,numba
10000,fp16,5,10,2500500025000000,inf,inf,inf,0.0,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
100000,fp16,5,10,25000500002500000000,inf,inf,inf,0.0,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
1000000,fp16,5,10,250000500000250000000000,inf,inf,inf,0.0,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
10000000,fp16,5,10,2500000500000025000000000000,inf,inf,inf,0.0,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
10000,bf16,8,7,2500500025000000,281474976710656.0,2219025048289344.0,0.8874325239366251,0.05186465866277406,1.31340817804812e+22,4.4499114031476234e+21,0.07483763305881372,0.0,1.3134079279981176e+22,5252581.143238011,9.666093894623805e+21;1.1584555278289598e+22;1.8151596168530199e+22,numba
100000,bf16,8,7,25000500002500000000,2.8823037615171174e+17,2.471226962634829e+19,0.9884710155347738,0.005036060774041616,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
1000000,bf16,8,7,250000500000250000000000,2.9514790517935283e+20,2.4970535209507066e+23,0.9988194107404623,0.0005130262971023899,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
10000000,bf16,8,7,2500000500000025000000000000,3.022314549036573e+23,2.499698268545121e+27,0.9998791074422171,5.2506144613302624e-05,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
10000,e5m2,5,2,2500500025000000,inf,inf,inf,0.0,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
100000,e5m2,5,2,25000500002500000000,inf,inf,inf,0.0,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
1000000,e5m2,5,2,250000500000250000000000,inf,inf,inf,0.0,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
10000000,e5m2,5,2,2500000500000025000000000000,inf,inf,inf,0.0,inf,nan,0.0,0.0,inf,inf,inf;inf;inf,numba
