example,title,precision,noisefloat_total_instabilities,reference_total_instabilities,noisefloat_sources,reference_sources,reference_source_file,runtime_repeats,deterministic_runtime_precision,deterministic_runtime_mean_seconds,deterministic_runtime_median_seconds,deterministic_runtime_min_seconds,deterministic_single_runtime_mean_seconds,deterministic_single_runtime_median_seconds,deterministic_single_runtime_min_seconds,deterministic_double_runtime_mean_seconds,deterministic_double_runtime_median_seconds,deterministic_double_runtime_min_seconds,noisefloat_runtime_mean_seconds,noisefloat_runtime_median_seconds,noisefloat_runtime_min_seconds,runtime_overhead_ratio,noisefloat_unstable_division,reference_unstable_division,noisefloat_unstable_power_function,reference_unstable_power_function,noisefloat_unstable_multiplication,reference_unstable_multiplication,noisefloat_branching_instability,reference_branching_instability,noisefloat_mathematical_instability,reference_mathematical_instability,noisefloat_intrinsic_instability,reference_intrinsic_instability,noisefloat_loss_of_accuracy_due_to_cancellation,reference_loss_of_accuracy_due_to_cancellation
1,Polynomial function of two variables: Rump equation,single,1,1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,rump_cad.cc / output_float.txt,3,single,8.550666583081087e-06,7.869995897635818e-06,6.4259947976097465e-06,8.550666583081087e-06,7.869995897635818e-06,6.4259947976097465e-06,,,,0.005100155001855455,0.005142917012562975,0.004988337997929193,596.4628549482866,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,Second-order equation,single,1,1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,ex2_cad.cc / output_float.txt,3,single,7.34399751915286e-06,6.203001248650253e-06,4.84999327454716e-06,7.34399751915286e-06,6.203001248650253e-06,4.84999327454716e-06,,,,0.0020836560045912242,0.002074403004371561,0.002060687998891808,283.72231869048574,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,Determinant of Hilbert's matrix,single,48,48,UNSTABLE DIVISION(S)=4; UNSTABLE MULTIPLICATION(S)=44,UNSTABLE DIVISION(S)=4; UNSTABLE MULTIPLICATION(S)=44,hilbert_cad.cc / output_float.txt,3,single,0.00018568733260811618,0.0001800600002752617,0.0001790020032785833,0.00018568733260811618,0.0001800600002752617,0.0001790020032785833,,,,0.2087731029993544,0.20802999699662905,0.20763714800705202,1124.326038114617,4,4,0,0,44,44,0,0,0,0,0,0,0,0
4,J.-M. Muller recurrence,single,9,7,UNSTABLE DIVISION(S)=7; UNSTABLE MULTIPLICATION(S)=2,UNSTABLE DIVISION(S)=5; UNSTABLE MULTIPLICATION(S)=2,muller_cad.cc / output_float.txt,3,single,4.832899624792238e-05,4.579999949783087e-05,4.506799450609833e-05,4.832899624792238e-05,4.579999949783087e-05,4.506799450609833e-05,,,,0.037651612001354806,0.03765935200499371,0.03757103800307959,779.0687770175532,7,5,0,0,2,2,0,0,0,0,0,0,0,0
5,Newton's method,single,346,336,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=97; UNSTABLE INTRINSIC FUNCTION(S)=71; UNSTABLE BRANCHING(S)=89; UNSTABLE DIVISION(S)=89,UNSTABLE DIVISION(S)=91; UNSTABLE BRANCHING(S)=89; UNSTABLE INTRINSIC FUNCTION(S)=60; LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=96,newton_cad.cc / output_float.txt,3,single,6.377633932667474e-05,6.27490080660209e-05,5.6921999203041196e-05,6.377633932667474e-05,6.27490080660209e-05,5.6921999203041196e-05,,,,0.43421201933233533,0.434470310996403,0.4331386699923314,6808.355950130932,89,91,0,0,0,0,89,89,0,0,71,60,97,96
6,Gaussian elimination with partial pivoting,single,1,2,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,UNSTABLE BRANCHING(S)=1; LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,gauss_cad.cc / output_float.txt,3,single,2.5614329691355426e-05,2.1903993911109865e-05,2.0713996491394937e-05,2.5614329691355426e-05,2.1903993911109865e-05,2.0713996491394937e-05,,,,0.016549668333027512,0.01653655999689363,0.016512032991158776,646.1097570167083,0,0,0,0,0,0,0,1,0,0,0,0,1,1
7,Jacobi iterative method,single,328,376,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=328,UNSTABLE BRANCHING(S)=111; UNSTABLE INTRINSIC FUNCTION(S)=35; LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=230,jacobi_cad.cc / output_float.txt,3,single,0.0024322866714404276,0.0024007460015127435,0.0023852930025896057,0.0024322866714404276,0.0024007460015127435,0.0023852930025896057,,,,7.640127725996233,7.642527413001517,7.631940952996956,3141.1296274018814,0,0,0,0,0,0,0,111,0,0,0,35,328,230
1,Polynomial function of two variables: Rump equation,double,2,2,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=2,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=2,rump_cad.cc / output.txt,3,double,3.350665792822838e-06,1.787993824109435e-06,1.2450036592781544e-06,,,,3.350665792822838e-06,1.787993824109435e-06,1.2450036592781544e-06,0.005082903003009657,0.005074114000308327,0.0050651450001169,1516.9829870520928,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2,Second-order equation,double,1,1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,ex2_cad.cc / output.txt,3,double,5.232664989307523e-06,4.5539927668869495e-06,3.1130039133131504e-06,,,,5.232664989307523e-06,4.5539927668869495e-06,3.1130039133131504e-06,0.0020861883288792646,0.002064452986815013,0.0020553139911498874,398.6856282873453,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,Determinant of Hilbert's matrix,double,0,0,none,none,hilbert_cad.cc / output.txt,3,double,5.960099709530672e-05,5.8595993323251605e-05,5.475900252349675e-05,,,,5.960099709530672e-05,5.8595993323251605e-05,5.475900252349675e-05,0.20373948799776068,0.2037616279994836,0.20315105898771435,3418.390596250682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,J.-M. Muller recurrence,double,9,8,UNSTABLE DIVISION(S)=7; UNSTABLE MULTIPLICATION(S)=2,UNSTABLE DIVISION(S)=6; UNSTABLE MULTIPLICATION(S)=2,muller_cad.cc / output.txt,3,double,8.627335773780942e-06,7.580005330964923e-06,6.312999175861478e-06,,,,8.627335773780942e-06,7.580005330964923e-06,6.312999175861478e-06,0.03759155266258555,0.037589273997582495,0.037525343999732286,4357.260879636658,7,6,0,0,2,2,0,0,0,0,0,0,0,0
5,Newton's method,double,498,480,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=274; UNSTABLE INTRINSIC FUNCTION(S)=70; UNSTABLE BRANCHING(S)=77; UNSTABLE DIVISION(S)=77,UNSTABLE DIVISION(S)=76; UNSTABLE BRANCHING(S)=77; UNSTABLE INTRINSIC FUNCTION(S)=54; LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=273,newton_cad.cc / output.txt,3,double,3.08866729028523e-05,2.649900852702558e-05,2.6205001631751657e-05,,,,3.08866729028523e-05,2.649900852702558e-05,2.6205001631751657e-05,0.44161728567269165,0.4413864160014782,0.44097338200663216,14297.988231419693,77,76,0,0,0,0,77,77,0,0,70,54,274,273
