example,title,precision,noisefloat_total_instabilities,reference_total_instabilities,noisefloat_sources,reference_sources,reference_source_file,runtime_repeats,deterministic_runtime_precision,deterministic_runtime_mean_seconds,deterministic_runtime_median_seconds,deterministic_runtime_min_seconds,deterministic_single_runtime_mean_seconds,deterministic_single_runtime_median_seconds,deterministic_single_runtime_min_seconds,deterministic_double_runtime_mean_seconds,deterministic_double_runtime_median_seconds,deterministic_double_runtime_min_seconds,noisefloat_runtime_mean_seconds,noisefloat_runtime_median_seconds,noisefloat_runtime_min_seconds,runtime_overhead_ratio,noisefloat_unstable_division,reference_unstable_division,noisefloat_unstable_power_function,reference_unstable_power_function,noisefloat_unstable_multiplication,reference_unstable_multiplication,noisefloat_branching_instability,reference_branching_instability,noisefloat_mathematical_instability,reference_mathematical_instability,noisefloat_intrinsic_instability,reference_intrinsic_instability,noisefloat_loss_of_accuracy_due_to_cancellation,reference_loss_of_accuracy_due_to_cancellation,backend,device
1,Polynomial function of two variables: Rump equation,single,1,1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,rump_cad.cc / output_float.txt,3,single,0.00035152200143784285,0.00031492000562138855,0.00030347499705385417,0.00035152200143784285,0.00031492000562138855,0.00030347499705385417,,,,0.027044579333354097,0.027043516005505808,0.02686950599309057,76.93566611117569,0,0,0,0,0,0,0,0,0,0,0,0,1,1,torch,cuda
2,Second-order equation,single,1,1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,ex2_cad.cc / output_float.txt,3,single,0.005901022663844439,0.0003150420088786632,0.00025045099027920514,0.005901022663844439,0.0003150420088786632,0.00025045099027920514,,,,0.0104793716648904,0.010453109003719874,0.010395951001555659,1.775856874622343,0,0,0,0,0,0,0,0,0,0,0,0,1,1,torch,cuda
3,Determinant of Hilbert's matrix,single,48,48,UNSTABLE DIVISION(S)=4; UNSTABLE MULTIPLICATION(S)=44,UNSTABLE DIVISION(S)=4; UNSTABLE MULTIPLICATION(S)=44,hilbert_cad.cc / output_float.txt,3,single,0.007840321331362551,0.00777617898711469,0.007726118012215011,0.007840321331362551,0.00777617898711469,0.007726118012215011,,,,1.0002341590006836,1.0154693789954763,0.9652188990003197,127.5756587934203,4,4,0,0,44,44,0,0,0,0,0,0,0,0,torch,cuda
4,J.-M. Muller recurrence,single,10,7,UNSTABLE DIVISION(S)=8; UNSTABLE MULTIPLICATION(S)=2,UNSTABLE DIVISION(S)=5; UNSTABLE MULTIPLICATION(S)=2,muller_cad.cc / output_float.txt,3,single,0.0025921890046447515,0.002524947005440481,0.00252327200723812,0.0025921890046447515,0.002524947005440481,0.00252327200723812,,,,0.22384519566548988,0.22381534699525218,0.22332557100162376,86.35373241086906,8,5,0,0,2,2,0,0,0,0,0,0,0,0,torch,cuda
5,Newton's method,single,342,336,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=94; UNSTABLE INTRINSIC FUNCTION(S)=68; UNSTABLE BRANCHING(S)=90; UNSTABLE DIVISION(S)=90,UNSTABLE DIVISION(S)=91; UNSTABLE BRANCHING(S)=89; UNSTABLE INTRINSIC FUNCTION(S)=60; LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=96,newton_cad.cc / output_float.txt,3,single,0.003692139667691663,0.0035274010006105527,0.003506838998873718,0.003692139667691663,0.0035274010006105527,0.003506838998873718,,,,2.483168839996021,2.4835245900030714,2.4822957229916938,672.5554999246563,90,91,0,0,0,0,90,89,0,0,68,60,94,96,torch,cuda
6,Gaussian elimination with partial pivoting,single,1,2,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,UNSTABLE BRANCHING(S)=1; LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,gauss_cad.cc / output_float.txt,3,single,0.0009217953338520601,0.0008796350011834875,0.0008621989982202649,0.0009217953338520601,0.0008796350011834875,0.0008621989982202649,,,,0.08461356033512857,0.08458307299588341,0.08453699100937229,91.79213348969749,0,0,0,0,0,0,0,1,0,0,0,0,1,1,torch,cuda
7,Jacobi iterative method,single,318,376,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=318,UNSTABLE BRANCHING(S)=111; UNSTABLE INTRINSIC FUNCTION(S)=35; LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=230,jacobi_cad.cc / output_float.txt,3,single,0.24191126300623486,0.24194079500739463,0.24167338100960478,0.24191126300623486,0.24194079500739463,0.24167338100960478,,,,35.81087260567195,35.80888964601036,35.80385324099916,148.03309346017917,0,0,0,0,0,0,0,111,0,0,0,35,318,230,torch,cuda
1,Polynomial function of two variables: Rump equation,double,2,2,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=2,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=2,rump_cad.cc / output.txt,3,double,0.0003489499989276131,0.0003428449999773875,0.0003244580002501607,,,,0.0003489499989276131,0.0003428449999773875,0.0003244580002501607,0.028789389005396515,0.028772199002560228,0.028757432010024786,82.50290612944993,0,0,0,0,0,0,0,0,0,0,0,0,2,2,torch,cuda
2,Second-order equation,double,1,1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,LOSS(ES) OF ACCURACY DUE TO CANCELLATION(S)=1,ex2_cad.cc / output.txt,3,double,0.00038045300364804763,0.0003143439971609041,0.00028367301274556667,,,,0.00038045300364804763,0.0003143439971609041,0.00028367301274556667,0.011093484000108825,0.011079835006967187,0.010995417003869079,29.158618525118204,0,0,0,0,0,0,0,0,0,0,0,0,1,1,torch,cuda
3,Determinant of Hilbert's matrix,double,0,0,none,none,hilbert_cad.cc / output.txt,3,double,0.007774374670892333,0.007671783008845523,0.0076464090088848025,,,,0.007774374670892333,0.007671783008845523,0.0076464090088848025,0.997162365335195,0.9952138799999375,0.9934482039971044,128.26271019180788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torch,cuda
